date,pe,pb,ps,dividend_yield,cn10y,spread,us10y,erp
2016-12-26,,,,0.03492587607156161,3.1551000000000005,-3.1201741239284386,,
2016-12-27,,,,0.0349508886698108,3.1628000000000003,-3.1278491113301894,,
2016-12-28,,,,0.035150485411737646,3.1223,-3.0871495145882624,,
2016-12-29,,,,0.03513898760538326,3.0471000000000004,-3.011961012394617,,
2016-12-30,,,,0.034954723677610086,3.0115,-2.9765452763223896,,
2017-01-03,,,,0.03466212268147844,3.1054,-3.0707378773185217,,
2017-01-04,,,,0.03432166086437591,3.1822999999999997,-3.1479783391356237,,
2017-01-05,,,,0.03435954333265786,3.2086000000000006,-3.174240456667343,,
2017-01-06,,,,0.034503415010554137,3.1953,-3.1607965849894457,,
2017-01-09,,,,0.03434071848840146,3.1692,-3.1348592815115985,,
2017-01-10,,,,0.03442898098500112,3.1791,-3.144671019014999,,
2017-01-11,,,,0.034616711610577215,3.2055,-3.1708832883894225,,
2017-01-12,,,,0.03468694375529779,3.1888,-3.1541130562447024,,
2017-01-13,,,,0.03441245457408761,3.2022000000000004,-3.1677875454259126,,
2017-01-16,,,,0.0341164329228883,3.2495999999999996,-3.2154835670771114,,
2017-01-17,,,,0.03413064696742927,3.2691999999999997,-3.2350693530325705,,
2017-01-18,,,,0.03386301308223854,3.2682,-3.2343369869177616,,
2017-01-19,,,,0.033848244379242644,3.2584,-3.2245517556207575,,
2017-01-20,,,,0.03365868429792975,3.2439000000000004,-3.2102413157020706,,
2017-01-23,,,,0.03369287956747433,3.2429,-3.209207120432526,,
2017-01-24,,,,0.03354667119376951,3.2836999999999996,-3.2501533288062303,,
